App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
Forwarding,POX EEL Fixed,Star2,200,8,8,False,True,40,8,48,40,2,42,32,238,270,10,32,0,10,22,0,6,0
Forwarding,POX EEL Fixed,Star2,200,8,8,True,True,40,8,48,42,6,48,35,252,287,0,34,0,0,34,0,6,0
Forwarding,POX EEL Fixed,Star2,200,9,9,False,True,40,8,48,38,2,40,34,238,272,11,34,0,11,23,0,6,0
Forwarding,POX EEL Fixed,Star2,200,9,9,True,True,40,8,48,40,6,46,37,252,289,0,36,0,0,36,0,6,0
Forwarding,POX EEL Fixed,Star2,200,10,10,False,True,40,8,48,38,2,40,34,238,272,11,34,0,11,23,0,6,0
Forwarding,POX EEL Fixed,Star2,200,10,10,True,True,40,8,48,40,6,46,37,252,289,0,36,0,0,36,0,6,0
Forwarding,POX EEL Fixed,Star2,200,inf,inf,False,True,40,8,48,0,0,0,74,238,312,40,36,0,29,7,0,6,1
Forwarding,POX EEL Fixed,Star2,200,inf,inf,True,True,40,8,48,0,0,0,83,252,335,0,37,0,0,37,0,6,3
Forwarding,POX Angler,BinTree1,200,0,0,False,True,1193,55,1248,7491,160,7651,0,14798,14798,0,0,0,0,0,0,62,0
Forwarding,POX Angler,BinTree1,200,0,0,True,True,1193,55,1248,7509,200,7709,0,14810,14810,0,0,0,0,0,0,62,0
Forwarding,POX Angler,BinTree1,200,1,1,False,True,1193,55,1248,7297,120,7417,234,14798,15032,0,59,28,0,31,23,62,27
Forwarding,POX Angler,BinTree1,200,1,1,True,True,1193,55,1248,7315,157,7472,237,14810,15047,0,59,28,0,31,23,62,27
Forwarding,POX Angler,BinTree1,200,2,2,False,True,1193,55,1248,7089,75,7164,487,14798,15285,7,81,46,0,35,31,62,58
Forwarding,POX Angler,BinTree1,200,2,2,True,True,1193,55,1248,7107,112,7219,490,14810,15300,7,81,46,0,35,31,62,58
Forwarding,POX Angler,BinTree1,200,3,3,False,True,1193,55,1248,6876,48,6924,727,14798,15525,16,98,55,0,43,45,62,68
