name,run,total_time_sec,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,19,30.078945,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,2,29.691122,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,20,30.653865,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,3,29.895826,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,4,30.0783,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,5,30.139727,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,6,29.860353,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,7,29.966196,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,8,29.823916,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,9,29.840087,
trace_pox_eel_l2_multi_fixed-StarTopology2,1,0.147469,
trace_pox_eel_l2_multi_fixed-StarTopology2,10,0.140684,
trace_pox_eel_l2_multi_fixed-StarTopology2,11,0.140823,
trace_pox_eel_l2_multi_fixed-StarTopology2,12,0.147572,
trace_pox_eel_l2_multi_fixed-StarTopology2,13,0.146115,
trace_pox_eel_l2_multi_fixed-StarTopology2,14,0.142608,
trace_pox_eel_l2_multi_fixed-StarTopology2,15,0.145992,
trace_pox_eel_l2_multi_fixed-StarTopology2,16,0.145168,
trace_pox_eel_l2_multi_fixed-StarTopology2,17,0.146209,
trace_pox_eel_l2_multi_fixed-StarTopology2,18,0.145953,
trace_pox_eel_l2_multi_fixed-StarTopology2,19,0.143945,
trace_pox_eel_l2_multi_fixed-StarTopology2,2,0.142104,
trace_pox_eel_l2_multi_fixed-StarTopology2,20,0.143663,
trace_pox_eel_l2_multi_fixed-StarTopology2,3,0.144515,
trace_pox_eel_l2_multi_fixed-StarTopology2,4,0.143135,
trace_pox_eel_l2_multi_fixed-StarTopology2,5,0.147032,
trace_pox_eel_l2_multi_fixed-StarTopology2,6,0.147518,
trace_pox_eel_l2_multi_fixed-StarTopology2,7,0.143831,
trace_pox_eel_l2_multi_fixed-StarTopology2,8,0.142803,
trace_pox_eel_l2_multi_fixed-StarTopology2,9,0.148214,
trace_pox_eel_l2_multi_fixed-MeshTopology2,1,0.277828,
trace_pox_eel_l2_multi_fixed-MeshTopology2,10,0.26613,
trace_pox_eel_l2_multi_fixed-MeshTopology2,11,0.266331,
trace_pox_eel_l2_multi_fixed-MeshTopology2,12,0.268513,
trace_pox_eel_l2_multi_fixed-MeshTopology2,13,0.270742,
trace_pox_eel_l2_multi_fixed-MeshTopology2,14,0.267643,
trace_pox_eel_l2_multi_fixed-MeshTopology2,15,0.270545,
trace_pox_eel_l2_multi_fixed-MeshTopology2,16,0.266885,
trace_pox_eel_l2_multi_fixed-MeshTopology2,17,0.27612,
trace_pox_eel_l2_multi_fixed-MeshTopology2,18,0.262715,
trace_pox_eel_l2_multi_fixed-MeshTopology2,19,0.269476,
trace_pox_eel_l2_multi_fixed-MeshTopology2,2,0.270186,
trace_pox_eel_l2_multi_fixed-MeshTopology2,20,0.269195,
trace_pox_eel_l2_multi_fixed-MeshTopology2,3,0.262953,
trace_pox_eel_l2_multi_fixed-MeshTopology2,4,0.269756,
trace_pox_eel_l2_multi_fixed-MeshTopology2,5,0.263137,
trace_pox_eel_l2_multi_fixed-MeshTopology2,6,0.266317,
trace_pox_eel_l2_multi_fixed-MeshTopology2,7,0.274151,
trace_pox_eel_l2_multi_fixed-MeshTopology2,8,0.268482,
trace_pox_eel_l2_multi_fixed-MeshTopology2,9,0.268974,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,1,32.741933,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,10,32.780444,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,11,32.679965,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,12,32.758431,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,13,32.820281,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,14,32.858248,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,15,32.592571,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,16,32.544753,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,17,32.585543,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,18,32.754275,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,19,32.77627,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,2,32.559862,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,20,32.779527,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,3,32.822222,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,4,32.673018,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,5,32.589603,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,6,32.691667,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,7,32.741529,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,8,33.89555,
trace_pox_eel_l2_multi_fixed-BinaryLeafTreeTopology2,9,33.013831,
trace_floodlight_forwarding-StarTopology2,1,0.048861,
trace_floodlight_forwarding-StarTopology2,10,0.04107,
trace_floodlight_forwarding-StarTopology2,11,0.04206,
trace_floodlight_forwarding-StarTopology2,12,0.041162,
trace_floodlight_forwarding-StarTopology2,13,0.041015,
trace_floodlight_forwarding-StarTopology2,14,0.046312,
trace_floodlight_forwarding-StarTopology2,15,0.042171,
trace_floodlight_forwarding-StarTopology2,16,0.042781,
trace_floodlight_forwarding-StarTopology2,17,0.041306,
trace_floodlight_forwarding-StarTopology2,18,0.041373,
trace_floodlight_forwarding-StarTopology2,19,0.040986,
trace_floodlight_forwarding-StarTopology2,2,0.040665,
trace_floodlight_forwarding-StarTopology2,20,0.04087,
trace_floodlight_forwarding-StarTopology2,3,0.042642,
trace_floodlight_forwarding-StarTopology2,4,0.041323,
trace_floodlight_forwarding-StarTopology2,5,0.042444,
trace_floodlight_forwarding-StarTopology2,6,0.041647,
trace_floodlight_forwarding-StarTopology2,7,0.042036,
trace_floodlight_forwarding-StarTopology2,8,0.041336,
trace_floodlight_forwarding-StarTopology2,9,0.041456,
trace_floodlight_forwarding-MeshTopology2,1,0.096482,
trace_floodlight_forwarding-MeshTopology2,10,0.079996,
trace_floodlight_forwarding-MeshTopology2,11,0.082456,
trace_floodlight_forwarding-MeshTopology2,12,0.080292,
trace_floodlight_forwarding-MeshTopology2,13,0.08069,
trace_floodlight_forwarding-MeshTopology2,14,0.082009,
trace_floodlight_forwarding-MeshTopology2,15,0.081715,
trace_floodlight_forwarding-MeshTopology2,16,0.079824,
trace_floodlight_forwarding-MeshTopology2,17,0.085707,
trace_floodlight_forwarding-MeshTopology2,18,0.082521,
trace_floodlight_forwarding-MeshTopology2,19,0.081225,
trace_floodlight_forwarding-MeshTopology2,2,0.080241,
trace_floodlight_forwarding-MeshTopology2,20,0.079364,
trace_floodlight_forwarding-MeshTopology2,3,0.082128,
trace_floodlight_forwarding-MeshTopology2,4,0.08018,
trace_floodlight_forwarding-MeshTopology2,5,0.081286,
trace_floodlight_forwarding-MeshTopology2,6,0.081111,
trace_floodlight_forwarding-MeshTopology2,7,0.080827,
trace_floodlight_forwarding-MeshTopology2,8,0.081735,
trace_floodlight_forwarding-MeshTopology2,9,0.081069,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,1,3.487345,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,10,3.425765,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,11,3.446433,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,12,3.425444,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,13,3.420385,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,14,3.514455,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,15,3.414253,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,16,3.447925,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,17,3.445808,
